customer_id,year,gender,month,total_spent_for_category,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B124,B125,weekend_amount_spent,Num_of_weekend_visits,total_amount_spent,total_num_of_visits,birth_year
167939,2019,female,12,6259.41,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,4369.5,9,92496.69000000002,135,17865.0
168227,2019,female,12,1125.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11339.08,4,11339.08,4,7924.0
168286,2019,female,12,9705.03,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,79434.9,60,126347.2,120,19610.0
168325,2019,male,12,412.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,872.5,1,872.5,1,1975.0
168408,2019,female,12,17635.980000000003,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,175902.86,28,341394.6200000001,56,27594.0
169212,2019,female,12,3992.31,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,26666.5,7,74918.40999999999,21,13860.0
169217,2019,female,12,4945.26,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,600.0,0,34564.560000000005,6,11826.0
169277,2019,male,12,807.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3435.8,4,3435.8,4,3972.0
169363,2019,female,12,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0,0,719.5,2,1974.0
169405,2019,female,12,17204.61,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1200.0,0,399153.72,48,23784.0
169496,2019,female,12,8210.01,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1100.0,0,101571.80000000002,110,21780.0
169544,2019,male,12,21440.34,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,107778.3,75,357156.6,240,29610.0
169808,2019,male,12,21274.65,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,190022.84,42,531853.7,140,27706.0
170583,2019,male,12,23824.59,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,107583.97000000002,65,460001.1000000001,182,25727.0
170853,2019,female,12,9736.529999999999,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,66331.76000000001,11,197165.10000000003,22,21769.0
170995,2019,male,12,6581.49,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1200.0,0,107534.28000000001,48,23652.0
171048,2019,female,12,15918.1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,35916.31999999999,22,266577.95999999996,143,21450.0
171076,2019,male,12,15072.53,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,61020.96,11,266932.70999999996,110,21681.0
171276,2019,male,12,22634.039999999997,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,118545.92000000001,8,248707.28,16,15632.0
171475,2019,male,12,29314.29,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,429161.4400000002,128,956535.3599999998,336,31296.0
171793,2019,male,12,16683.36,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,89160.07999999999,16,320332.87999999995,72,15640.0
171811,2019,male,12,1542.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,28347.5,5,28347.5,5,9845.0
172023,2019,female,12,19298.07,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,107809.0,13,309646.08999999997,39,25493.0
172366,2019,male,12,19813.02,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,70138.04,126,493020.07999999984,308,27454.0
172438,2019,female,12,7542.33,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,500.0,0,67911.65,15,9935.0
172531,2019,male,12,25606.11,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1300.0,0,524534.53,104,25636.0
172552,2019,female,12,11165.67,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1100.0,0,186974.80999999994,66,21417.0
172645,2019,male,12,37451.56,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,152906.88,48,689395.8000000002,192,23556.0
173157,2019,male,12,3867.92,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8584.12,20,22366.68,72,7960.0
